ocid,mnth,start_date,end_date,co2_pm
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-07-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-08-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-09-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-10-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-11-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2017-12-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-01-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-02-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-03-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-04-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-05-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-06-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-07-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-08-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-09-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-10-01,2017-07-03,2021-07-02,0.9375010273972604
ocds-0c46vo-0001-8bb8fe37-c3f1-41b8-87f7-b4fea0b7c3cf,2018-11-01,2017-07-03,2021-07-02,0.9375010273972604
