ocid,start_date,end_date,co2_pm
ocds-0c46vo-0001-08430f74-48a7-41df-87b0-c154c81b2c12,2015-10-08,2021-10-01,0.21585973312585813
ocds-0c46vo-0001-a7f4eacd-8904-4b73-87f3-dfe62ba49700,2016-01-01,2021-12-31,0.03470641259698768
ocds-0c46vo-0001-3d5c80ef-1ad3-4d77-b0db-e260312a6693,2016-02-01,2023-01-01,0.19266318289786222
ocds-0c46vo-0001-d747e095-24ae-4797-a0cc-de8c3462c802,2016-10-01,2021-09-30,0.031666701369863014
ocds-0c46vo-0001-3bc1731c-f2e8-44dd-b7b7-83ba5c4365c2,2016-10-22,2026-10-21,0.09487411109285127
ocds-0c46vo-0001-b1cab668-19ab-4d31-8e6e-519742299634,2016-10-22,2023-10-21,0.08357152015655576
ocds-0c46vo-0001-071ace02-eef7-404c-82a4-bd87c49b0d78,2017-01-01,2021-07-01,0.06742282053836784
ocds-0c46vo-0001-88cd11bd-5ec8-4621-ac2f-adc1bda48caa,2017-01-01,2021-07-01,0.1086331884774665
ocds-0c46vo-0001-52f6226e-74ae-4db3-9fbb-b042e40f16de,2017-01-25,2021-01-24,0.07283575481991782
ocds-0c46vo-0001-dfcd3a3e-b95b-4d10-8331-b5ed8a3eca9d,2017-03-20,2021-03-19,0.3029003319452055
ocds-0c46vo-0001-0030dddf-dd05-45b0-b179-a844dc234025,2017-04-01,2021-07-01,0.11493279347938144
ocds-0c46vo-0001-1cbc89c9-8829-4948-95ad-ca3e0c2ea0fc,2017-04-01,2021-04-30,0.11650943416912753
ocds-0c46vo-0001-73a2cc3c-e7de-4d07-a32f-be569002482d,2017-04-01,2021-03-31,0.24988152384246579
ocds-0c46vo-0001-81fb7809-be2c-4091-9902-a8f2768912ef,2017-04-01,2022-03-31,0.018333353424657535
ocds-0c46vo-0001-8f4349ae-94a6-4975-9a10-2939e4df89c3,2017-04-01,2027-04-30,0.005784213528932355
ocds-0c46vo-0001-e7d969dc-f2f4-4eab-b2ac-014e44763d34,2017-04-01,2021-03-31,0.12500013698630139
ocds-0c46vo-0001-cccccebe-41ce-4c75-b61a-019689579e93,2017-04-03,2021-04-02,0.06315464421049316
ocds-0c46vo-0001-09750e82-a01a-4746-80fd-c9fb12d06750,2017-04-30,2021-04-29,0.10250011232876713
ocds-0c46vo-0001-85802570-d486-4da2-a72b-84b752be8ca4,2017-05-01,2022-03-31,0.3973329284690808
ocds-0c46vo-0001-9e2b9b2f-8595-49ac-8a7f-6ad9d4dd7384,2017-05-01,2021-07-01,0.07208398175558475
